PNR;Nachname;Vorname;Kostenstellennummer;Kostenstellenbezeichnung;OE-Nummer;OE-Bezeichnung
b000005;Mustermann;Max2190;1004.0;KS-LVE;310033;KS Leben Vertrag
b072870;Mustermann;Max2190;1004.0;KS-LVE;310033;KS Leben Vertrag
b073736;Mustermann;Max2190;1004.0;KS-LVE;310033;KS Leben Vertrag
b002241;Mustermann;Max2190;1004.0;KS-LVE;310033;KS Leben Vertrag
b040602;Mustermann;Max2190;1004.0;KS-LVE;310033;KS Leben Vertrag
b054479;Mustermann;Max2190;1004.0;KS-LVE;310033;KS Leben Vertrag
b001883;Mustermann;Max2190;1004.0;KS-LVE;310033;KS Leben Vertrag
b002430;Mustermann;Max2190;1004.0;KS-LVE;310033;KS Leben Vertrag
b065017;Mustermann;Max2190;1004.0;KS-LVE;310033;KS Leben Vertrag
b001455;Mustermann;Max2190;1004.0;KS-LVE;310033;KS Leben Vertrag
b002242;Mustermann;Max2190;1004.0;KS-LVE;310033;KS Leben Vertrag
b058850;Mustermann;Max2190;1004.0;KS-LVE;310033;KS Leben Vertrag
b002232;Mustermann;Max2190;1004.0;KS-LVE;310033;KS Leben Vertrag
b040605;Mustermann;Max2190;1004.0;KS-LVE;310033;KS Leben Vertrag
b002738;Mustermann;Max2190;1004.0;KS-LVE;310033;KS Leben Vertrag
b066984;Mustermann;Max2190;1004.0;KS-LVE;310033;KS Leben Vertrag
b066993;Mustermann;Max2190;1004.0;KS-LVE;310033;KS Leben Vertrag
b001734;Mustermann;Max2190;1008.0;KVSL-SC-PV Vertragsänderungen;310077;Private Vorsorge Vertragsänderungen
b006023;Mustermann;Max2190;1008.0;KVSL-SC-PV Vertragsänderungen;310077;Private Vorsorge Vertragsänderungen
b001342;Mustermann;Max2190;1008.0;KVSL-SC-PV Vertragsänderungen;310077;Private Vorsorge Vertragsänderungen
b001427;Mustermann;Max2190;1008.0;KVSL-SC-PV Vertragsänderungen;310077;Private Vorsorge Vertragsänderungen
b058007;Mustermann;Max2190;1008.0;KVSL-SC-PV Vertragsänderungen;310077;Private Vorsorge Vertragsänderungen
b001404;Mustermann;Max2190;1008.0;KVSL-SC-PV Vertragsänderungen;310077;Private Vorsorge Vertragsänderungen
b051549;Mustermann;Max2190;1008.0;KVSL-SC-PV Vertragsänderungen;310077;Private Vorsorge Vertragsänderungen
b044684;Mustermann;Max2190;1008.0;KVSL-SC-PV Vertragsänderungen;310077;Private Vorsorge Vertragsänderungen
b001779;Mustermann;Max2190;1008.0;KVSL-SC-PV Vertragsänderungen;310077;Private Vorsorge Vertragsänderungen
b058630;Mustermann;Max2190;1008.0;KVSL-SC-PV Vertragsänderungen;310077;Private Vorsorge Vertragsänderungen
b001658;Mustermann;Max2190;1008.0;KVSL-SC-PV Vertragsänderungen;310077;Private Vorsorge Vertragsänderungen
b002209;Mustermann;Max2190;1008.0;KVSL-SC-PV Vertragsänderungen;310077;Private Vorsorge Vertragsänderungen
b000057;Mustermann;Max2190;1008.0;KVSL-SC-PV Vertragsänderungen;310077;Private Vorsorge Vertragsänderungen
b001702;Mustermann;Max2190;1008.0;KVSL-SC-PV Vertragsänderungen;310077;Private Vorsorge Vertragsänderungen
b001750;Mustermann;Max2190;1008.0;KVSL-SC-PV Vertragsänderungen;310077;Private Vorsorge Vertragsänderungen
b000920;Mustermann;Max2190;1008.0;KVSL-SC-PV Vertragsänderungen;310077;Private Vorsorge Vertragsänderungen
b001797;Mustermann;Max2190;1008.0;KVSL-SC-PV Vertragsänderungen;310077;Private Vorsorge Vertragsänderungen
b002751;Mustermann;Max2190;1008.0;KVSL-SC-PV Vertragsänderungen;310077;Private Vorsorge Vertragsänderungen
b040356;Mustermann;Max2190;1008.0;KVSL-SC-PV Vertragsänderungen;310077;Private Vorsorge Vertragsänderungen
b073657;Mustermann;Max2190;1008.0;KVSL-SC-PV Vertragsänderungen;310077;Private Vorsorge Vertragsänderungen
b001970;Mustermann;Max2190;1008.0;KVSL-SC-PV Vertragsänderungen;310077;Private Vorsorge Vertragsänderungen
b041805;Mustermann;Max2190;1008.0;KVSL-SC-PV Vertragsänderungen;310077;Private Vorsorge Vertragsänderungen
b072376;Mustermann;Max2190;1008.0;KVSL-SC-PV Vertragsänderungen;310077;Private Vorsorge Vertragsänderungen
b043835;Mustermann;Max2190;1008.0;KVSL-SC-PV Vertragsänderungen;310077;Private Vorsorge Vertragsänderungen
b002254;Mustermann;Max2190;1008.0;KVSL-SC-PV Vertragsänderungen;310077;Private Vorsorge Vertragsänderungen
b002559;Mustermann;Max2190;1008.0;KVSL-SC-PV Vertragsänderungen;310077;Private Vorsorge Vertragsänderungen
b070382;Mustermann;Max2190;1010.0;Private Vorsorge Spez./Versorgungsau;315032;Private Vorsorge Spezial/Versorgungsausgleich
b001271;Mustermann;Max2190;1010.0;Private Vorsorge Spez./Versorgungsau;315032;Private Vorsorge Spezial/Versorgungsausgleich
b001032;Mustermann;Max2190;1010.0;Private Vorsorge Spez./Versorgungsau;315032;Private Vorsorge Spezial/Versorgungsausgleich
b073246;Mustermann;Max2190;1010.0;Private Vorsorge Spez./Versorgungsau;315032;Private Vorsorge Spezial/Versorgungsausgleich
b043009;Mustermann;Max2190;1010.0;Private Vorsorge Spez./Versorgungsau;315032;Private Vorsorge Spezial/Versorgungsausgleich
b055908;Mustermann;Max2190;1010.0;Private Vorsorge Spez./Versorgungsau;315032;Private Vorsorge Spezial/Versorgungsausgleich
b005435;Mustermann;Max2190;1010.0;Private Vorsorge Spez./Versorgungsau;315032;Private Vorsorge Spezial/Versorgungsausgleich
b073534;Mustermann;Max2190;1010.0;Private Vorsorge Spez./Versorgungsau;315032;Private Vorsorge Spezial/Versorgungsausgleich
b058492;Mustermann;Max2190;1010.0;Private Vorsorge Spez./Versorgungsau;315032;Private Vorsorge Spezial/Versorgungsausgleich
b047813;Mustermann;Max2190;1010.0;Private Vorsorge Spez./Versorgungsau;315032;Private Vorsorge Spezial/Versorgungsausgleich
b048420;Mustermann;Max2190;1010.0;Private Vorsorge Spez./Versorgungsau;315032;Private Vorsorge Spezial/Versorgungsausgleich
b050007;Mustermann;Max2190;1010.0;Private Vorsorge Spez./Versorgungsau;315032;Private Vorsorge Spezial/Versorgungsausgleich
b069996;Mustermann;Max2190;1010.0;Private Vorsorge Spez./Versorgungsau;315032;Private Vorsorge Spezial/Versorgungsausgleich
b043834;Mustermann;Max2190;1010.0;Private Vorsorge Spez./Versorgungsau;315032;Private Vorsorge Spezial/Versorgungsausgleich
b051600;Mustermann;Max2190;1010.0;Private Vorsorge Spez./Versorgungsau;315032;Private Vorsorge Spezial/Versorgungsausgleich
b065181;Mustermann;Max2190;1012.0;LSP1-Riester;310120;Riester Vertrag
b073202;Mustermann;Max2190;1012.0;LSP1-Riester;310120;Riester Vertrag
b062362;Mustermann;Max2190;1012.0;LSP1-Riester;310120;Riester Vertrag
b062478;Mustermann;Max2190;1012.0;LSP1-Riester;310120;Riester Vertrag
b066818;Mustermann;Max2190;1012.0;LSP1-Riester;310120;Riester Vertrag
b058489;Mustermann;Max2190;1012.0;LSP1-Riester;310120;Riester Vertrag
b040326;Mustermann;Max2190;1012.0;LSP1-Riester;310120;Riester Vertrag
b053347;Mustermann;Max2190;1012.0;LSP1-Riester;310120;Riester Vertrag
b001992;Mustermann;Max2190;1012.0;LSP1-Riester;310120;Riester Vertrag
b043011;Mustermann;Max2190;1012.0;LSP1-Riester;310120;Riester Vertrag
b002148;Mustermann;Max2190;1012.0;LSP1-Riester;310120;Riester Vertrag
b064602;Mustermann;Max2190;1012.0;LSP1-Riester;310120;Riester Vertrag
b053343;Mustermann;Max2190;1012.0;LSP1-Riester;310120;Riester Vertrag
b000134;Mustermann;Max2190;1016.0;LSP1-BAV 2;310035;bAV Vertrag 2
b058891;Mustermann;Max2190;1016.0;LSP1-BAV 2;310035;bAV Vertrag 2
b070243;Mustermann;Max2190;1016.0;LSP1-BAV 2;310035;bAV Vertrag 2
b073371;Mustermann;Max2190;1016.0;LSP1-BAV 2;310035;bAV Vertrag 2
b046157;Mustermann;Max2190;1016.0;LSP1-BAV 2;310035;bAV Vertrag 2
b072938;Mustermann;Max2190;1016.0;LSP1-BAV 2;310035;bAV Vertrag 2
b046152;Mustermann;Max2190;1016.0;LSP1-BAV 2;310035;bAV Vertrag 2
b006203;Mustermann;Max2190;1016.0;LSP1-BAV 2;310035;bAV Vertrag 2
b001764;Mustermann;Max2190;1016.0;LSP1-BAV 2;310035;bAV Vertrag 2
b070972;Mustermann;Max2190;1016.0;LSP1-BAV 2;310035;bAV Vertrag 2
b067938;Mustermann;Max2190;1016.0;LSP1-BAV 2;310035;bAV Vertrag 2
b060998;Mustermann;Max2190;1016.0;LSP1-BAV 2;310035;bAV Vertrag 2
b040334;Mustermann;Max2190;1016.0;LSP1-BAV 2;310035;bAV Vertrag 2
